mes_num_crb,quant_lesao_corporal_crb,quant_ameaca_crb,quant_roubo_crb,quant_injuria_crb,quant_furto_crb,quant_lesao_no_transito_crb,quant_dano_no_transito_crb,quant_difamacao_crb,quant_homicidio_crb,quant_abandono_do_lar_crb,quant_conflitos_vicinais_crb,quant_conflitos_conjugais_crb,quant_fuga_do_lar_crb,quant_estupro_de_vulneravel_crb,quant_outros_fatos_atipicos_crb,quant_roubo_de_veiculo_crb,quant_estelionato_crb,quant_dano_crb,quant_dano_civil_crb,quant_calunia_crb,quant_conflitos_familiares_crb,quant_trafico_de_drogas_crb,quant_vias_de_fato_crb,quant_apropriacao_indebita_crb,quant_agressao_fisica_crb,quant_receptacao_crb,quant_estupro_crb,quant_desaparecimento_de_pessoa_crb,quant_tentativa_de_homicidio_crb,quant_poluicao_sonora_crb,quant_outras_fraudes_crb,quant_desobediencia_crb,quant_desacato_crb,quant_perturbacoes_da_tranquilidade_crb
5.0,0.1224489795918367,0.1204819277108433,0.0291970802919708,0.09375,0.0541237113402061,0.0333333333333333,0.0,0.1111111111111111,0.1428571428571428,0.4,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0566037735849056,0.125,0.1428571428571428,0.0833333333333333,0.0,0.1,0.1111111111111111,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0
3.0,0.3061224489795918,0.3132530120481928,0.3479318734793187,0.15625,0.2087628865979381,0.2,0.2837837837837837,0.5,0.0714285714285714,0.2,0.1111111111111111,0.2857142857142857,0.0,0.5,0.3,0.2571428571428571,0.1818181818181818,0.1764705882352941,0.1886792452830188,0.0625,0.2142857142857142,0.0833333333333333,0.4375,0.2,0.0,0.1666666666666666,0.1111111111111111,0.0,0.2,0.0,0.1176470588235294,0.1666666666666666,0.0,0.0
3.0,0.0816326530612244,0.0481927710843373,0.1581508515815085,0.0,0.0902061855670103,0.0666666666666666,0.1283783783783784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1142857142857142,0.0303030303030303,0.0588235294117647,0.0754716981132075,0.125,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.2,0.0
5.0,0.4693877551020408,0.6506024096385542,0.8783454987834549,0.1875,0.3685567010309278,0.2333333333333333,0.1283783783783784,0.3333333333333333,0.7142857142857142,0.1,0.0,0.0,0.4,0.0,0.5111111111111112,0.0571428571428571,0.4545454545454546,0.5294117647058824,0.0943396226415094,0.375,0.4285714285714285,0.3333333333333333,0.0625,0.4,0.3333333333333333,0.1666666666666666,0.1111111111111111,0.0,0.4,0.1111111111111111,0.0,0.1666666666666666,0.0,0.0
9.0,0.0612244897959183,0.1325301204819277,0.0559610705596107,0.0625,0.0902061855670103,0.0,0.1081081081081081,0.1111111111111111,0.0714285714285714,0.1,0.0,0.0,0.0,0.0,0.0444444444444444,0.0,0.1212121212121212,0.0,0.0,0.1875,0.2142857142857142,0.0833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0.2448979591836734,0.1686746987951807,0.2554744525547445,0.28125,0.2164948453608247,0.1666666666666666,0.0878378378378378,0.1666666666666666,0.0714285714285714,0.3,0.0,0.0,0.0,0.1666666666666666,0.2222222222222222,0.2,0.0909090909090909,0.2352941176470588,0.2641509433962264,0.0,0.0714285714285714,0.1666666666666666,0.1875,0.2,0.1111111111111111,0.0,0.2222222222222222,0.0,0.2,0.1111111111111111,0.0,0.1666666666666666,0.0,0.0
10.0,0.2448979591836734,0.2650602409638554,0.3187347931873479,0.1875,0.268041237113402,0.4,0.1554054054054054,0.3888888888888888,0.0714285714285714,0.3,0.2222222222222222,0.1428571428571428,0.0,0.0,0.2666666666666666,0.0,0.1515151515151515,0.1764705882352941,0.1132075471698113,0.4375,0.0714285714285714,0.0,0.3125,0.1,0.0,0.1666666666666666,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.125
5.0,0.6938775510204082,0.7349397590361446,0.3430656934306569,0.65625,0.3711340206185567,0.7,0.3108108108108109,0.3888888888888888,0.1428571428571428,0.2,0.0,0.0,0.2,0.5,0.5555555555555556,0.3428571428571429,0.5454545454545454,0.2941176470588235,0.0377358490566037,0.5,0.5,0.3333333333333333,0.4375,1.0,0.0,0.0,0.2222222222222222,0.4,0.2,0.4444444444444444,0.0,0.3333333333333333,0.6000000000000001,0.0
9.0,0.0,0.0240963855421686,0.0072992700729927,0.0,0.0103092783505154,0.0,0.0067567567567567,0.0555555555555555,0.0,0.1,0.0,0.0,0.0,0.0,0.0222222222222222,0.0,0.0,0.0,0.0188679245283018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.0,0.0
9.0,0.1224489795918367,0.1927710843373494,0.2238442822384428,0.0,0.095360824742268,0.2333333333333333,0.054054054054054,0.1666666666666666,0.3571428571428571,0.3,0.0,0.1428571428571428,0.2,0.0,0.1666666666666666,0.0,0.0606060606060606,0.2352941176470588,0.1320754716981132,0.125,0.1428571428571428,0.0,0.0625,0.2,0.0,0.0,0.1111111111111111,0.2,0.0,0.0,0.0,0.0,0.0,0.0
